hour,week_day,id_day_type,day_hour,appliance_electricity_dpt1,hot_water_dpt1,occupancy_dpt1,ventilation_supply_temperature_dpt1,appliance_electricity_dpt2,hot_water_dpt2,occupancy_dpt2,ventilation_supply_temperature_dpt2,appliance_electricity_dpt3,hot_water_dpt3,occupancy_dpt3,ventilation_supply_temperature_dpt3,appliance_electricity_dpt4,hot_water_dpt4,occupancy_dpt4,ventilation_supply_temperature_dpt4,appliance_electricity_dpt5,hot_water_dpt5,occupancy_dpt5,ventilation_supply_temperature_dpt5,appliance_electricity_dpt6,hot_water_dpt6,occupancy_dpt6,ventilation_supply_temperature_dpt6,appliance_electricity_dpt7,hot_water_dpt7,occupancy_dpt7,ventilation_supply_temperature_dpt7,appliance_electricity_dpt8,hot_water_dpt8,occupancy_dpt8,ventilation_supply_temperature_dpt8,appliance_electricity_dpt9,hot_water_dpt9,occupancy_dpt9,ventilation_supply_temperature_dpt9,appliance_electricity_dpt10,hot_water_dpt10,occupancy_dpt10,ventilation_supply_temperature_dpt10,appliance_electricity_dpt11,hot_water_dpt11,occupancy_dpt11,ventilation_supply_temperature_dpt11,appliance_electricity_dpt12,hot_water_dpt12,occupancy_dpt12,ventilation_supply_temperature_dpt12,appliance_electricity_dpt13,hot_water_dpt13,occupancy_dpt13,ventilation_supply_temperature_dpt13,appliance_electricity_dpt14,hot_water_dpt14,occupancy_dpt14,ventilation_supply_temperature_dpt14
31,3,1,7,450.9684833,14991.4,1,19.176649,1853.376725,14991.4,1,19.176649,334.7432373,14991.4,1,19.176649,1352.158165,14991.4,1,19.176649,193.6402133,14991.4,1,19.176649,798.3741501,14991.4,1,19.176649,3447.007446,20.8171,0,19,28398.71114,20.8171,1,16,3447.007446,20.8171,0,19,19471.78447,20.8171,1,16,3447.007446,20.8171,0,19,13231.08713,20.8171,1,16,3447.007446,20.8171,0,19,15035.74089,20.8171,1,16
32,3,1,8,495.0500594,19647.2,0,19.306194,2031.794384,19647.2,0,19.306194,358.0640822,19647.2,0,19.306194,1446.493824,19647.2,0,19.306194,167.0212821,19647.2,0,19.306194,694.7212882,19647.2,0,19.306194,31587.66826,23.89,0,19,28438.77476,23.89,1,16,21814.90201,23.89,0,19,19511.84809,23.89,1,16,5673.4329,23.89,0,19,15003.58332,23.89,1,16,6293.21245,23.89,0,19,17259.40053,23.89,1,16
33,3,1,9,94.66452817,18871.2,0,19.354026,410.2129554,18871.2,0,19.354026,144.5251322,18871.2,0,19.354026,581.6503954,18871.2,0,19.354026,96.16452817,18871.2,0,19.354026,411.7129554,18871.2,0,19.354026,9111.330374,27.6568,0,19,10794.9995,27.6568,1,16,10811.01207,27.6568,0,19,10883.7934,27.6568,1,16,4810.287144,27.6568,0,19,8107.961211,27.6568,1,16,6669.625795,27.6568,0,19,10363.77842,27.6568,1,16
34,3,1,10,94.66452817,14474.1,0,19.455669,410.2129554,14474.1,0,19.455669,144.5251322,14474.1,0,19.455669,581.6503954,14474.1,0,19.455669,96.16452817,14474.1,0,19.455669,411.7129554,14474.1,0,19.455669,9124.065259,30.5359,1,19,10818.27971,30.5359,1,16,10823.74695,30.5359,1,19,10907.07361,30.5359,1,16,5704.825871,30.5359,1,19,7784.754904,30.5359,1,16,8803.723622,30.5359,1,19,9589.40867,30.5359,1,16
35,3,1,11,94.66452817,11887.6,0,19.539375,410.2129554,11887.6,0,19.539375,144.5251322,11887.6,0,19.539375,581.6503954,11887.6,0,19.539375,96.16452817,11887.6,0,19.539375,411.7129554,11887.6,0,19.539375,9130.284621,31.609,1,19,10829.64911,31.609,1,16,10829.96632,31.609,1,19,10918.44301,31.609,1,16,5711.045233,31.609,1,19,8142.610824,31.609,1,16,8809.942985,31.609,1,19,10398.42803,31.609,1,16
36,3,1,12,94.66452817,11111.6,0,19.625074,410.2129554,11111.6,0,19.625074,144.5251322,11111.6,0,19.625074,581.6503954,11111.6,0,19.625074,96.16452817,11111.6,0,19.625074,411.7129554,11111.6,0,19.625074,9130.580781,31.3681,1,19,10830.19051,31.3681,0,16,10830.26248,31.3681,1,19,10918.98441,31.3681,0,16,5270.439472,31.3681,1,19,7276.935934,31.3681,0,16,7749.557673,31.3681,1,19,8404.844538,31.3681,0,16
37,3,1,13,183.6390907,10852.9,1,19.62906,770.564384,10852.9,1,19.62906,191.9782322,10852.9,1,19.62906,773.837824,10852.9,1,19.62906,146.3699601,10852.9,1,19.62906,602.542261,10852.9,1,19.62906,9125.249899,30.6883,0,19,10820.44531,30.6883,1,16,10824.93159,30.6883,0,19,10909.23921,30.6883,1,16,4383.304748,30.6883,0,19,7786.920504,30.6883,1,16,5622.863848,30.6883,0,19,9591.574271,30.6883,1,16
38,3,1,14,183.6390907,10852.9,0,19.44969,770.564384,10852.9,0,19.44969,191.9782322,10852.9,0,19.44969,773.837824,10852.9,0,19.44969,120.5172441,10852.9,0,19.44969,506.3776082,10852.9,0,19.44969,9115.180456,30.1743,0,19,10802.0377,30.1743,1,16,10814.86215,30.1743,0,19,10890.8316,30.1743,1,16,4814.137225,30.1743,0,19,8114.999414,30.1743,1,16,6673.475876,30.1743,0,19,10370.81662,30.1743,1,16
39,3,1,15,94.66452817,9818.32,0,19.385914,410.2129554,9818.32,0,19.385914,144.5251322,9818.32,0,19.385914,581.6503954,9818.32,0,19.385914,96.16452817,9818.32,0,19.385914,411.7129554,9818.32,0,19.385914,9100.964771,29.3384,1,19,10776.05049,29.3384,1,16,10800.64647,29.3384,1,19,10864.84439,29.3384,1,16,5681.725382,29.3384,1,19,8089.012205,29.3384,1,16,8780.623134,29.3384,1,19,10344.82941,29.3384,1,16
40,3,1,16,94.66452817,8783.7,0,19.334096,410.2129554,8783.7,0,19.334096,144.5251322,8783.7,0,19.334096,581.6503954,8783.7,0,19.334096,96.16452817,8783.7,0,19.334096,411.7129554,8783.7,0,19.334096,31580.56042,27.6442,1,19,28425.78115,27.6442,1,16,21807.79417,27.6442,1,19,19498.85448,27.6442,1,16,12279.85387,27.6442,1,19,13258.15713,27.6442,1,16,14758.97207,27.6442,1,19,15062.8109,27.6442,1,16
41,3,1,17,94.66452817,7749.07,0,19.214516,410.2129554,7749.07,0,19.214516,144.5251322,7749.07,0,19.214516,581.6503954,7749.07,0,19.214516,96.16452817,7749.07,0,19.214516,411.7129554,7749.07,0,19.214516,31566.93705,25.6679,0,19,28400.87674,25.6679,1,16,21794.1708,25.6679,0,19,19473.95007,25.6679,1,16,10061.7209,25.6679,0,19,13233.25273,25.6679,1,16,11921.05955,25.6679,0,19,15037.90649,25.6679,1,16
42,3,1,18,764.9290744,11370.2,0,19.112873,3188.667611,11370.2,0,19.112873,607.1823659,11370.2,0,19.112873,2519.285051,11370.2,0,19.112873,399.0564499,11370.2,0,19.112873,1698.325041,11370.2,0,19.112873,31556.86761,24.3143,0,19,28382.46914,24.3143,1,16,21784.10136,24.3143,0,19,19455.54247,24.3143,1,16,5642.632249,24.3143,0,19,13214.84512,24.3143,1,16,6262.411799,24.3143,0,19,15019.49889,24.3143,1,16
43,3,1,19,1695.796935,13698.1,1,18.989307,7222.428339,13698.1,1,18.989307,1538.050226,13698.1,1,18.989307,6553.045779,13698.1,1,18.989307,1408.924498,13698.1,1,18.989307,6043.500342,13698.1,1,18.989307,3431.607121,23.8443,0,19,28370.55833,23.8443,0,16,3431.607121,23.8443,0,19,19443.63166,23.8443,0,16,3431.607121,23.8443,0,19,10604.28545,23.8443,0,16,3431.607121,23.8443,0,19,11732.19405,23.8443,0,16
44,3,1,20,948.6233374,16284.7,1,18.859762,3984.676084,16284.7,1,18.859762,790.8766289,16284.7,1,18.859762,3315.293524,16284.7,1,18.859762,661.7509009,16284.7,1,18.859762,2805.748087,16284.7,1,18.859762,3426.572399,23.7206,0,19,28361.35453,23.7206,0,16,3426.572399,23.7206,0,19,19434.42786,23.7206,0,16,3426.572399,23.7206,0,19,10595.08164,23.7206,0,16,3426.572399,23.7206,0,19,11722.99025,23.7206,0,16
45,3,1,21,495.0500594,13439.5,1,18.768084,2031.794384,13439.5,1,18.768084,358.0640822,13439.5,1,18.768084,1446.493824,13439.5,1,18.768084,239.3780361,13439.5,1,18.768084,979.229621,13439.5,1,18.768084,3420.945357,23.6658,0,19,28351.06793,23.6658,0,16,3420.945357,23.6658,0,19,19424.14126,23.6658,0,16,3420.945357,23.6658,0,19,10584.79504,23.6658,0,16,3420.945357,23.6658,0,19,11712.70364,23.6658,0,16
46,3,1,22,425.2889666,13439.5,1,18.664448,1779.906333,13439.5,1,18.664448,371.3459144,13439.5,1,18.664448,1530.933773,13439.5,1,18.664448,317.3101053,13439.5,1,18.664448,1321.236194,13439.5,1,18.664448,3414.133675,22.5497,0,19,28338.61572,22.5497,0,16,3414.133675,22.5497,0,19,19411.68905,22.5497,0,16,3414.133675,22.5497,0,19,10572.34283,22.5497,0,16,3414.133675,22.5497,0,19,11700.25144,22.5497,0,16
47,3,1,23,323.6073573,10335.6,1,18.560812,1377.093539,10335.6,1,18.560812,331.9464988,10335.6,1,18.560812,1380.366979,10335.6,1,18.560812,299.2645848,10335.6,1,18.560812,1257.153743,10335.6,1,18.560812,3406.729672,20.8995,0,19,28325.08072,20.8995,0,16,3406.729672,20.8995,0,19,19398.15405,20.8995,0,16,3406.729672,20.8995,0,19,7960.15896,20.8995,0,16,3406.729672,20.8995,0,19,8411.322401,20.8995,0,16
